"ID","TOC_m","TC_m","IC_m","TN_m","TCN_m"
"2-1 MIDC",4.995,6.005,1.01,0.2475,24.2626262626263
"2-1 BOTC",1.727,3.205,1.478,0.038305,48.1007701344472
"2-2 TOPA",54.09,54.62,0.53525,1.15305,49.0433071990162
"2-2 MIDA",45.39,45.9,0.5149,0.9043,50.7574919827491
"2-2 BOTC",2.719,3.88,1.161,0.09925,24.735516372796
"2-2 MIDC",2.436,3.1455,0.70955,0.07395,26.0175794455713
"2-3 TOPA",33.11,33.58,0.4661,2.673,12.5626636737748
"2-3 BOTA",7.7925,8.457,0.66055,0.13405,51.3987318164864
"2-3 BOTC",37.0645,37.809,0.7477,1.0515,37.502725448501
"2-3 MIDC",11.882,12.584,0.70385,0.25885,45.4397307788642
"2-3 MIDA",23.83,24.2825,0.4493,0.51735,42.3872580364151
"3-1 MIDC",23.51,24.12,0.6148,0.5958,40.4833836858006
"3-1 MIDA",3.808,4.844,1.0359,0.10215,32.2124326970142
"3-2 TOPA",57.25,57.67,0.42085,1.00275,59.3255344580461
"3-2 BOTA",11.51,12.285,0.77275,0.1567,81.1775389660282
"3-2 MIDC",4.001,4.4985,0.497,0.2397,18.8713644920901
"3-2 BOTC",6.331,8.2545,1.92295,0.249885,48.5624094074869
"3-3 TOPA",35.345,35.875,0.52915,0.56355,63.7470823786377
"3-3 BOTA",6.3405,7.5085,1.1679,0.14326,93.23391334733
"3-3 BOTC",5.664,6.7515,1.0876,0.110635,59.2216058682981
"2-1 TOPA",81.98,82.4,0.4222,1.661,49.6086694762191
"2-2 BOTA",37.52,37.93,0.4094,0.7064,53.6947904869762
"3-1 BOTC",73.56,74.1,0.5363,1.175,63.063829787234
"3-1 TOPA",21,21.43,0.43,0.4033,53.1366228613935
"3-2 MIDA",10.56,11.71,1.153,0.4351,26.913353252126
"3-3 MIDA",56.83,57.22,0.3862,1.665,34.3663663663664
